
A   -   A (frrs: ny3lv1 7ogok)
abatere   -   kihágás (frrs: ny3lv1 7ogok)
abroga   -   hatályon kívül helyez (frrs: ny3lv1 7ogok)
act autentic   -   közokirat (frrs: ny3lv1 7ogok)
acte de stare civil&#259; reconstituite   -   helyreállított anyakönyv (frrs: ny3lv1 7ogok)
acte justificative    -   igazoló iratok (frrs: ny3lv1 7ogok)
actiuni neevaluabile &#206;n bani   -   pénzbeli értekben nem kifejezhet&#337; (frrs: ny3lv1 7ogok)
actului de c&#259;s&#259;torie   -   házassági bizonyítvány, (frrs: ny3lv1 7ogok)
actului de luare &#206;n folosin&#355;&#259;   -   használatbavételi bizonylat, engedély (frrs: ny3lv1 7ogok)
actului de na&#351;tere   -   születési bizonyítvány, (frrs: ny3lv1 7ogok)
adeverin&#355;a    -   bizonylat (frrs: ny3lv1 7ogok)
adres&#259;   -   cím (frrs: ny3lv1 7ogok)
adres&#259;    -   átirat, leirat (hivatalos szervek egymás között) (frrs: ny3lv1 7ogok)
agen&#355;ie   -   hivatal, ügynökség (frrs: ny3lv1 7ogok)
aloca&#355;ia de stat pentru copii   -   családi pótlék (népiesen: gyerekpénz) (frrs: ny3lv1 7ogok)
amend&#259;   -   pénzbírság (frrs: ny3lv1 7ogok)
anula   -   semmisnek nyilvánít (frrs: ny3lv1 7ogok)
apel   -   fellebbezés, kérés (frrs: ny3lv1 7ogok)
aplicarea apostilei   -   ellenjegyzés (frrs: ny3lv1 7ogok)
apostille   -   tanúsítvány (frrs: ny3lv1 7ogok)
aproba   -   engedélyez, jóváhagy (frrs: ny3lv1 7ogok)
arenda&#351;   -   földbérl&#337;, árendás (frrs: ny3lv1 7ogok)
arhiv&#259;   -   irattár (levéltár értelemben is) (frrs: ny3lv1 7ogok)
asisten&#355;&#259; medical&#259; comunitar&#259;   -   közösségi egészségügyi ellátás (frrs: ny3lv1 7ogok)
asistent&#259; mutual&#259;   -   kölcsönös segítségnyújtás (frrs: ny3lv1 7ogok)
asistent&#259; social&#259;   -   szociális gondozás (frrs: ny3lv1 7ogok)
asocia&#355;ie   -   egyesület (frrs: ny3lv1 7ogok)
audient&#259;   -   fogadóóra (frrs: ny3lv1 7ogok)
auditor   -   könyvvizsgáló (frrs: ny3lv1 7ogok)
autentificare    -   hitelesítés (frrs: ny3lv1 7ogok)
autentificare notarial&#259;   -   közjegyz&#337;i hitelesítés (frrs: ny3lv1 7ogok)
autoritate   -   hatóság (frrs: ny3lv1 7ogok)
autoriza&#355;ia de construire   -   építési engedély (frrs: ny3lv1 7ogok)
aviz   -   értesítés, véleményezés, szakvélemény, figyelmeztetés (frrs: ny3lv1 7ogok)
aviz de plat&#259;    -   fizetési meghagyás (frrs: ny3lv1 7ogok)
B   -   B (frrs: ny3lv1 7ogok)
birocratism   -   aktatologatás, felesleges ügyintézés (frrs: ny3lv1 7ogok)
birou   -   iroda (ügyosztály értelemben is) (frrs: ny3lv1 7ogok)
birou   -   iroda, hivatal (frrs: ny3lv1 7ogok)
birou de informatii   -   tudakozó, közönségszolgálat (frrs: ny3lv1 7ogok)
bon   -   nyugta, elismervény (frrs: ny3lv1 7ogok)
bon de casa   -   pénztárjegy (magyarországiasan: blokk) (frrs: ny3lv1 7ogok)
buletin de identitate   -   személyi igazolvány (frrs: ny3lv1 7ogok)
buletin de vot    -   szavazólap (frrs: ny3lv1 7ogok)
bun   -   vagyon (frrs: ny3lv1 7ogok)
bunuri   -   javak (frrs: ny3lv1 7ogok)
C   -   C (frrs: ny3lv1 7ogok)
caduc -&#259;, -i, -e   -   elévült (frrs: ny3lv1 7ogok)
caducitate   -   elévülés (frrs: ny3lv1 7ogok)
capacitate deplin&#259; de exerci&#355;iu    -   cselekv&#337;képesség (frrs: ny3lv1 7ogok)
carte funciar&#259;    -   telekkönyv (frrs: ny3lv1 7ogok)
c&#259;s&#259;torit(&#259;)   -   házas (frrs: ny3lv1 7ogok)
cazier fiscal   -   adóbizonylat (frrs: ny3lv1 7ogok)
cazier judiciar   -   erkölcsi bizonyítvány (frrs: ny3lv1 7ogok)
certificat    -   bizonyítvány(és sok egyéb is lehet) (frrs: ny3lv1 7ogok)
certificat de inmatriculare   -   forgalmi engedély (frrs: ny3lv1 7ogok)
certificat de legatar   -   örökösi bizonyítvány (frrs: ny3lv1 7ogok)
certificate de stare civil&#259;   -   anyakönyvi kivonat (frrs: ny3lv1 7ogok)
certificatul de c&#259;s&#259;torie   -   házassági bizonyítvány (frrs: ny3lv1 7ogok)
certificatul de deces    -   halotti bizonyítvány (frrs: ny3lv1 7ogok)
certificatul de na&#351;tere    -   születési bizonyítvány (frrs: ny3lv1 7ogok)
certificatul de urbanism    -   városrendezési engedély (frrs: ny3lv1 7ogok)
circular&#259;   -   körlevél (hivatalos szervek egymás között) (frrs: ny3lv1 7ogok)
circumscrip&#355;ie notarial&#259;   -   közjegyz&#337;i körzet (frrs: ny3lv1 7ogok)
cod de identificare fiscal&#259; (CIF)   -   adóazonosító szám (frrs: ny3lv1 7ogok)
cod numeric personal (CNP)   -   személyi szám (frrs: ny3lv1 7ogok)
Codul Civil   -   Román Polgári Törvénykönyv (frrs: ny3lv1 7ogok)
