


Uniunea Na&#355;ional&#259; pentru Progresul României UNPR : Románia Haladásáért Országos Szövetség (UNPR) : 0 : 

Codul rutier : A közúti közlekedés törvénykönyve (eurlex) : 0 : 
Vârghi&#351; (Covasna) : Vargyas (Kovászna) : 0 :  (hn+ar)
SINDICATUL CADRELOR MILITARE DISPONIBILIZATE IN REZERVA SI IN RETRAGERE SCMD SCMDRR : elbocsátott, a nyugdíjas és a tartalékos katonák szakszervezete : 0 : 
Institutul Universitar Maghiar din Cluj-Napoca : KMEI Kolozsvári Magyar Egyetemi Intézet : 0 : 
Institutul pentru Studierea Problemelor Minorit&#259;&#355;ilor Na&#355;ionale : Nemzeti Kisebbségkutató Intézet : 0 : 
Velen&#355;a (Oradea, Cartier) : Velence, Nagyvárad-Velence, Várad-Velence (Nagyváradi lakónegyed) : 0 : 
Regia Autonom&#259; de Transport Urban C&#259;l&#259;tori RATUC : Kolozsvári Tömegközlekedési Vállalat : 0 : 
OTLRA Oradea Transport Local Regia Autonom&#259; RAOTL : Nagyváradi Tömegközlekedési Vállalat : 0 : 
&#350;tei (Petru Groza), Bihor : Vaskohsziklás, Bihar megye : 0 :  (hn+ar)
Consiliul Na&#355;ional al Audiovizualului CNA : Országos Audiovizuális Tanács (pannonoknál ORTT?) : 0 : 
0 : 
marj&#259; (közgáz) : különbözet, rés (marj&#259; brut&#259;: bruttójövedelem-rés), ~de siguran&#355;&#259;: biztonsági ráhagyás : 0 : 


punerea  pietrei de temelie : alapk&#337;letétel : 0 : 



CSM Consiliul Superior al Magistraturii : Legfels&#337;bb Igazságügyi Tanács (forrás: 3ck2t31n) : 0 : 
Consiliului Superior al Magistraturii CSM : Legfels&#337;bb Bírói Tanács (eurlex szerint) : 0 : 
referen&#355;ial : mértékteremt&#337;, viszonyítási alap teremt&#337; (s vár7uk a 7ava5latoka+) : 0 : 
Uniunea General&#259; a Industria&#351;ilor din România, UGIR-1903 UGIR 1903 : Romániai Nagyipari Vállalkozók Egyesülete (fordítási 7avaslat) : 0 : 
Vâlcele, jud. Cluj : Bányabükk, Kolozs megye (a körgy&#369;r&#369; része) : 0 :  (hn+ar)
Valea Mare de Cri&#351;, Bihor : Fels&#337;patak (Bihar megye) : 0 :  (hn+ar)
parapant&#259; : siklóerny&#337; : 0 : 
centru de incluziune : inklúziós központ -- romániában eddig ilyen nem volt, neve sem volt, kb így kell fordítani. pl a cigánysághoz van köze : 0 : 
ANAD Agen&#355;ia Na&#355;ional&#259; Anti-Doping : Országos Doppingellenes Ügynökség : 0 : 
EUROSTAT : Az EUROSTAT az Európai Bizottság egyik f&#337;igazgatósága. Feladata a magas színvonalú statisztikai adatszolgáltatás nyújtása az Európai Unió számára. : 0 : 
Comisia European&#259; : Európai Bizottság : 0 : 
Ministerul Agriculturii &#351;i Dezvolt&#259;rii Rurale MADR : Mez&#337;gazdasági Minisztérium : 0 : 
Comisia de libert&#259;&#355;i civile, justi&#355;ie &#351;i afaceri interne (LIBE) : az Európai Parlament (EP) polgári szabadságjogokkal, valamint igazságügyi és belügyi kérdésekkel foglalkozó bizottsága (LIBE) : 0 : 
Uniunea Na&#355;ional&#259; a Societ&#259;&#355;ilor de Asigurare &#351;i Reasigurare din România (UNSAR) : A Biztosítótársaságok Országos Szövetsége  (fordítási javaslat) : 0 : 
oral history, istorie oral&#259; : oral history, elbeszélt történelem (jobb híján magyarék az angol kifejezést használják. de meg kell még kérdeznem egy történészt) : 0 : 
Institutul Na&#355;ional de S&#259;n&#259;tate Public&#259; INSP : Országos Közegészségügyi Intézet : 0 : 
